"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Apr. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","39 232 161"
"May. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","48 703 633"
"Jun. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","56 973 506"
"Jul. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","48 844 961"
"Aug. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","60 248 964"
"Sep. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","43 558 835"
"Oct. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","57 912 584"
"Nov. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","94 334 330"
"Dec. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","85 393 379"
"Jan.-Dec. 2020","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","702 056 714"
"Jan. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","81 587 291"
"Feb. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","103 116 910"
"Mar. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","104 545 675"
"Apr. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","125 051 613"
"May. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","108 487 249"
"Jun. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","97 934 576"
"Jul. 2021","Denmark","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","108 948 837"
"Jan. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","770 756 176"
"Feb. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","674 372 868"
"Mar. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","672 566 159"
"Apr. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","464 693 040"
"May. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","381 422 545"
"Jun. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","311 133 342"
"Jul. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","424 119 999"
"Aug. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","354 084 518"
"Sep. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","370 965 631"
"Oct. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","477 264 614"
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","436 074 075"
"Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","416 282 299"
"Jan.-Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","5 753 735 266"
"Jan. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","545 798 583"
"Feb. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","524 529 661"
"Mar. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","611 623 338"
"Apr. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","IMPORT","Sea","VALUE_IN_EUROS","754 546 121"
