"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value"
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","302 531 431"
"Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","440 044 057"
"Jan.-Dec. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","4 728 598 377"
"Jan. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","488 121 986"
"Feb. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","497 664 302"
"Mar. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","492 715 972"
"Apr. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","406 468 932"
"May. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","430 495 682"
"Jun. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","514 595 405"
"Jul. 2021","Germany (incl. German Democratic Republic 'DD' from 1991)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","535 277 537"
"Jan. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","10 566 672"
"Feb. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","722 688"
"Mar. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","394 943"
"Apr. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","607 561"
"May. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","159 016"
"Jun. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","342 135"
"Jul. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","357 245"
"Aug. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","246 731"
"Sep. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","740 994"
"Oct. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","391 559"
"Nov. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","1 063 478"
"Dec. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","270 219"
"Jan.-Dec. 2020","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","15 863 241"
"Jan. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","509 450"
"Feb. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","453 067"
"Mar. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","435 640"
"Apr. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","2 090 323"
"May. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","451 911"
"Jun. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","225 992"
"Jul. 2021","Estonia","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","203 333"
"Jan. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","10 922 724"
"Feb. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 032 991"
"Mar. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","12 211 806"
"Apr. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 743 339"
"May. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","9 187 262"
"Jun. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","11 377 546"
"Jul. 2020","Ireland (Eire)","South Africa (incl. Namibia 'NA' -> 1989)","Total","EXPORT","Sea","VALUE_IN_EUROS","16 076 230"
